Unnamed: 0,GEOID,Date,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,low-flag,imputed,subbed,avg_household_size_owner,avg_household_size_renter,Total_Less_Than_HS,Total_HS_Grad,Total_Some_College_or_AAS,Total_Bachelors,Mean_hours_worked,Primary Type,redlined,crime_rate,less_hs_rate,hs_grad_rate,some_college_rate,bachelors_rate,if_top_10,index
21776,170314801002,2016,1136.0,1.19,61.0,2.71,0,1,0,32.7,0.0,99.65,0.0,0.0,0.0,0.0,0.0,0.35,0,0,0,2.56,3.34,147.0,391.0,699.0,243.0,37.4,15,0.0,0.1522887323943662,0.12940140845070422,0.34419014084507044,0.6153169014084507,0.21390845070422532,0,3842
21844,170314803002,2016,448.0,25.56,65.0,28.65,1,0,0,37.5,2.23,91.07,5.58,0.0,1.12,0.0,0.0,0.0,0,0,0,2.66,2.06,71.0,187.0,370.0,165.0,39.5,1,1.0,0.2299107142857143,0.15848214285714285,0.4174107142857143,0.8258928571428571,0.36830357142857145,0,3854
21927,170314804005,2014,560.0,18.92,18.0,9.86,0,0,0,32.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.17,6.28,492.0,1069.0,1881.0,609.0,39.2,15,1.0,0.08035714285714286,0.8785714285714286,1.9089285714285715,3.3589285714285717,1.0875,1,3867
21928,170314804005,2015,560.0,18.92,19.0,9.86,0,0,0,32.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.25,6.1,594.0,1215.0,1616.0,712.0,36.7,1,1.0,0.07857142857142857,1.0607142857142855,2.169642857142857,2.8857142857142857,1.2714285714285714,1,3868
21929,170314804005,2016,560.0,18.92,19.0,9.86,0,0,0,32.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.05,5.69,566.0,1240.0,1656.0,723.0,36.5,1,1.0,0.11428571428571427,1.0107142857142857,2.2142857142857144,2.9571428571428573,1.2910714285714286,1,3869
21944,170314804006,2014,695.0,0.0,27.0,0.0,0,1,0,32.7,1.29,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.34,6.28,492.0,1069.0,1881.0,609.0,39.2,15,0.0,0.1093525179856115,0.7079136690647482,1.5381294964028778,2.706474820143885,0.8762589928057554,0,3870
21945,170314804006,2015,695.0,0.0,28.0,0.0,0,1,0,32.7,1.29,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.06,6.1,594.0,1215.0,1616.0,712.0,36.7,15,0.0,0.07482014388489208,0.8546762589928057,1.7482014388489209,2.325179856115108,1.0244604316546762,0,3871
21946,170314804006,2016,695.0,0.0,28.0,0.0,0,1,0,32.7,1.29,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.15,5.69,566.0,1240.0,1656.0,723.0,36.5,15,0.0,0.07625899280575539,0.814388489208633,1.7841726618705036,2.3827338129496405,1.0402877697841726,0,3872
21961,170314804007,2014,740.0,0.0,32.0,3.62,0,1,0,32.7,3.11,92.57,0.0,0.0,0.0,0.0,4.32,0.0,0,0,0,2.49,6.28,492.0,1069.0,1881.0,609.0,39.2,15,0.0,0.09864864864864864,0.6648648648648648,1.4445945945945946,2.541891891891892,0.822972972972973,1,3873
21962,170314804007,2015,740.0,0.0,32.0,3.62,0,1,0,32.7,3.11,92.57,0.0,0.0,0.0,0.0,4.32,0.0,0,0,0,2.49,6.1,594.0,1215.0,1616.0,712.0,36.7,15,0.0,0.0972972972972973,0.8027027027027027,1.641891891891892,2.183783783783784,0.9621621621621622,1,3874
21963,170314804007,2016,740.0,0.0,33.0,3.62,0,1,0,32.7,3.11,92.57,0.0,0.0,0.0,0.0,4.32,0.0,0,0,0,2.34,5.69,566.0,1240.0,1656.0,723.0,36.5,15,0.0,0.09864864864864864,0.7648648648648648,1.6756756756756757,2.2378378378378376,0.977027027027027,1,3875
22063,170314904001,2014,929.0,0.43,122.0,16.76,1,1,0,36.0,0.0,97.52,0.0,0.0,2.48,0.0,0.0,0.0,0,0,0,2.74,2.46,73.0,159.0,247.0,110.0,36.0,15,1.0,0.11948331539289557,0.07857911733046287,0.17115177610333693,0.2658772874058127,0.11840688912809473,0,3891
22148,170314907002,2014,508.0,28.21,69.0,50.0,1,0,0,50.0,1.18,98.82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.97,4.15,549.0,382.0,744.0,207.0,36.1,1,0.0,0.2559055118110236,1.0807086614173231,0.7519685039370079,1.4645669291338583,0.4074803149606299,1,3906
22216,170314908003,2014,719.0,22.0,129.0,30.6,1,0,0,50.0,0.0,96.11,3.89,0.0,0.0,0.0,0.0,0.0,0,0,0,2.45,2.16,450.0,634.0,1084.0,316.0,35.4,4,0.0,0.24617524339360225,0.6258692628650904,0.8817802503477051,1.5076495132127956,0.4394993045897079,0,3918
22233,170314908004,2014,762.0,31.38,63.0,39.53,0,0,0,22.0,0.0,89.9,0.0,0.0,0.0,0.0,7.09,3.02,0,0,0,3.46,1.41,450.0,634.0,1084.0,316.0,35.4,1,0.0,0.1089238845144357,0.5905511811023622,0.8320209973753281,1.4225721784776904,0.4146981627296588,0,3921
22234,170314908004,2015,762.0,31.38,64.0,39.53,0,0,0,22.0,0.0,89.9,0.0,0.0,0.0,0.0,7.09,3.02,0,0,0,3.59,1.98,392.0,521.0,1175.0,378.0,34.9,1,0.0,0.08530183727034121,0.5144356955380578,0.6837270341207349,1.5419947506561682,0.4960629921259842,0,3922
22235,170314908004,2016,762.0,31.38,65.0,39.53,0,0,0,22.0,0.0,89.9,0.0,0.0,0.0,0.0,7.09,3.02,0,0,0,3.48,2.25,344.0,503.0,1416.0,370.0,34.1,15,0.0,0.09317585301837272,0.4514435695538058,0.6601049868766404,1.8582677165354333,0.4855643044619423,0,3923
22386,170314910001,2014,299.0,26.47,69.0,58.77,0,0,0,47.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.23,2.49,644.0,945.0,1062.0,143.0,33.7,1,0.0,0.4816053511705686,2.1538461538461537,3.160535117056856,3.5518394648829434,0.4782608695652174,1,3948
22387,170314910001,2015,299.0,26.47,70.0,58.77,0,0,0,47.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.91,2.42,651.0,821.0,876.0,106.0,34.0,1,0.0,0.3946488294314381,2.1772575250836117,2.745819397993311,2.929765886287625,0.3545150501672241,1,3949
22388,170314910001,2016,299.0,26.47,71.0,58.77,0,0,0,47.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.63,4.13,624.0,774.0,920.0,97.0,33.3,1,0.0,0.5150501672240803,2.0869565217391304,2.588628762541806,3.0769230769230766,0.32441471571906355,1,3950
22403,170314910002,2014,1067.0,26.67,208.0,56.49,0,0,0,44.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.21,3.16,644.0,945.0,1062.0,143.0,33.7,1,0.0,0.2905342080599813,0.6035613870665417,0.8856607310215557,0.9953139643861292,0.13402061855670105,0,3951
22404,170314910002,2015,1067.0,26.67,209.0,56.49,0,0,0,44.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.1,3.75,651.0,821.0,876.0,106.0,34.0,1,0.0,0.25866916588566075,0.6101218369259607,0.7694470477975632,0.8209934395501406,0.09934395501405813,0,3952
22405,170314910002,2016,1067.0,26.67,209.0,56.49,0,0,0,44.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.74,4.75,624.0,774.0,920.0,97.0,33.3,1,0.0,0.2408622305529522,0.584817244611059,0.725398313027179,0.8622305529522024,0.09090909090909093,0,3953
22420,170314910003,2014,456.0,36.89,66.0,29.46,0,0,0,32.7,1.75,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.95,5.88,644.0,945.0,1062.0,143.0,33.7,1,0.0,0.2719298245614035,1.4122807017543861,2.0723684210526314,2.3289473684210527,0.3135964912280701,0,3954
22421,170314910003,2015,456.0,36.89,65.0,29.46,0,0,0,32.7,1.75,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.64,5.68,651.0,821.0,876.0,106.0,34.0,1,0.0,0.21271929824561406,1.4276315789473684,1.8004385964912282,1.9210526315789476,0.2324561403508772,0,3955
22422,170314910003,2016,456.0,36.89,65.0,29.46,0,0,0,32.7,1.75,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.64,5.05,624.0,774.0,920.0,97.0,33.3,1,0.0,0.1973684210526316,1.368421052631579,1.6973684210526316,2.017543859649123,0.21271929824561406,0,3956
22454,170314910005,2014,1432.0,70.11,274.0,56.06,0,0,0,50.0,1.19,98.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.65,4.15,644.0,945.0,1062.0,143.0,33.7,1,0.0,0.19134078212290506,0.4497206703910615,0.6599162011173184,0.7416201117318436,0.09986033519553073,1,3960
22455,170314910005,2015,1432.0,70.11,275.0,56.06,0,0,0,50.0,1.19,98.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.72,4.28,651.0,821.0,876.0,106.0,34.0,1,0.0,0.20670391061452514,0.454608938547486,0.5733240223463687,0.611731843575419,0.07402234636871509,1,3961
22456,170314910005,2016,1432.0,70.11,276.0,56.06,0,0,0,50.0,1.19,98.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.57,3.21,624.0,774.0,920.0,97.0,33.3,1,0.0,0.2290502793296089,0.4357541899441341,0.5405027932960894,0.6424581005586593,0.06773743016759777,1,3962
22524,170314911004,2016,1264.0,5.6,78.0,22.91,0,0,0,41.8,3.72,90.27,1.03,0.0,0.0,0.0,0.0,4.98,0,0,0,2.82,2.32,399.0,758.0,1209.0,569.0,35.3,15,0.0,0.08702531645569621,0.3156645569620253,0.5996835443037974,0.956487341772152,0.4501582278481013,1,3974
22608,170314913001,2015,538.0,57.53,157.0,50.0,1,0,0,50.0,0.0,93.31,0.0,0.0,0.0,0.0,6.69,0.0,0,0,0,2.99,3.2,322.0,406.0,509.0,38.0,33.0,1,0.0,0.2267657992565056,0.5985130111524164,0.7546468401486989,0.9460966542750928,0.07063197026022305,1,3988
22609,170314913001,2016,538.0,57.53,157.0,50.0,1,0,0,50.0,0.0,93.31,0.0,0.0,0.0,0.0,6.69,0.0,0,0,0,2.91,5.14,328.0,361.0,497.0,64.0,33.6,1,0.0,0.30855018587360594,0.6096654275092936,0.6710037174721191,0.9237918215613384,0.11895910780669144,1,3989
22624,170314913002,2014,683.0,33.33,99.0,44.59,1,0,0,50.0,3.07,95.9,1.02,0.0,0.0,0.0,0.0,0.0,0,0,0,3.75,4.31,279.0,429.0,634.0,102.0,35.0,1,0.0,0.15226939970717426,0.4084919472913616,0.6281112737920937,0.9282576866764276,0.1493411420204978,1,3990
22625,170314913002,2015,683.0,33.33,100.0,44.59,1,0,0,50.0,3.07,95.9,1.02,0.0,0.0,0.0,0.0,0.0,0,0,0,3.21,5.17,322.0,406.0,509.0,38.0,33.0,1,0.0,0.16105417276720352,0.4714494875549048,0.5944363103953147,0.7452415812591509,0.055636896046852125,1,3991
22626,170314913002,2016,683.0,33.33,100.0,44.59,1,0,0,50.0,3.07,95.9,1.02,0.0,0.0,0.0,0.0,0.0,0,0,0,2.8,5.24,328.0,361.0,497.0,64.0,33.6,1,0.0,0.1493411420204978,0.4802342606149341,0.5285505124450952,0.7276720351390923,0.09370424597364567,1,3992
22658,170314913004,2014,596.0,41.91,86.0,41.94,0,0,0,50.0,0.0,95.81,4.19,0.0,0.0,0.0,0.0,0.0,0,0,0,2.89,3.52,279.0,429.0,634.0,102.0,35.0,1,0.0,0.226510067114094,0.4681208053691275,0.7197986577181208,1.063758389261745,0.17114093959731544,0,3996
22659,170314913004,2015,596.0,41.91,86.0,41.94,0,0,0,50.0,0.0,95.81,4.19,0.0,0.0,0.0,0.0,0.0,0,0,0,2.98,3.51,322.0,406.0,509.0,38.0,33.0,1,0.0,0.2416107382550336,0.540268456375839,0.6812080536912751,0.8540268456375839,0.06375838926174497,0,3997
22660,170314913004,2016,596.0,41.91,87.0,41.94,0,0,0,50.0,0.0,95.81,4.19,0.0,0.0,0.0,0.0,0.0,0,0,0,2.8,4.9,328.0,361.0,497.0,64.0,33.6,1,0.0,0.1761744966442953,0.5503355704697986,0.6057046979865772,0.8338926174496645,0.10738255033557048,0,3998
22675,170314914001,2014,721.0,53.18,358.0,93.42,0,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.89,1.45,342.0,592.0,495.0,161.0,34.3,1,1.0,0.23717059639389734,0.4743411927877947,0.8210818307905686,0.6865464632454924,0.2233009708737864,1,3999
22676,170314914001,2015,721.0,53.18,356.0,93.42,0,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.98,1.96,283.0,675.0,597.0,119.0,34.7,1,1.0,0.1317614424410541,0.3925104022191401,0.9361997226074896,0.8280166435506241,0.1650485436893204,1,4000
22677,170314914001,2016,721.0,53.18,354.0,93.42,0,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.8,2.73,355.0,662.0,650.0,148.0,34.2,1,1.0,0.1955617198335645,0.492371705963939,0.9181692094313454,0.9015256588072122,0.20527045769764216,1,4001
22692,170314914002,2014,537.0,14.05,214.0,84.97,0,0,0,34.3,1.3,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.27,3.66,342.0,592.0,495.0,161.0,34.3,1,1.0,0.6368715083798883,0.6368715083798883,1.1024208566108007,0.9217877094972068,0.29981378026070765,1,4002
22693,170314914002,2015,537.0,14.05,216.0,84.97,0,0,0,34.3,1.3,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.08,3.19,283.0,675.0,597.0,119.0,34.7,1,1.0,0.5698324022346368,0.527001862197393,1.2569832402234635,1.1117318435754189,0.22160148975791435,1,4003
22694,170314914002,2016,537.0,14.05,218.0,84.97,0,0,0,34.3,1.3,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.82,2.91,355.0,662.0,650.0,148.0,34.2,15,1.0,0.5288640595903166,0.6610800744878957,1.2327746741154562,1.2104283054003724,0.2756052141527002,1,4004
22743,170315001002,2014,477.0,13.76,39.0,0.0,0,0,0,32.7,0.0,92.66,2.31,0.0,3.35,0.0,1.68,0.0,0,0,0,2.53,4.66,290.0,729.0,1139.0,324.0,36.8,15,0.0,0.12159329140461216,0.6079664570230608,1.5283018867924532,2.3878406708595388,0.6792452830188679,0,4011
